city,average_flights
Абакан,3.870967741935484
Анадырь,1.0
Анапа,2.161290322580645
Архангельск,5.354838709677419
Астрахань,2.4516129032258065
Барнаул,2.612903225806452
Белгород,6.0
Белоярский,2.0
Благовещенск,1.0
Братск,1.0
Брянск,10.0
Бугульма,3.0
Владивосток,3.0
Владикавказ,2.0
Волгоград,5.129032258064516
Воркута,4.580645161290322
Воронеж,2.0
Геленджик,2.590909090909091
Горно-Алтайск,1.3870967741935485
Грозный,1.129032258064516
Екатеринбург,11.32258064516129
Иваново,1.0
Ижевск,1.0
Иркутск,6.032258064516129
Йошкар-Ола,4.290322580645161
Казань,7.741935483870966
Калининград,2.5806451612903225
Калуга,2.032258064516129
Кемерово,2.0
Киров,6.0
Когалым,3.161290322580645
Комсомольск-на-Амуре,1.0
Краснодар,3.903225806451613
Красноярск,11.580645161290322
Курган,3.419354838709677
Курск,2.290322580645161
Кызыл,1.277777777777778
Липецк,1.2941176470588236
Магадан,1.3571428571428572
Магнитогорск,4.0
Махачкала,3.290322580645161
Минеральные Воды,3.419354838709677
Мирный,6.290322580645161
Москва,129.77419354838707
Мурманск,2.0
Надым,2.290322580645161
Нальчик,3.0
Нарьян-Мар,2.612903225806452
Нерюнгри,2.5806451612903225
Нефтеюганск,1.0
Нижневартовск,3.129032258064516
Нижнекамск,3.741935483870968
Нижний Новгород,5.870967741935484
Новокузнецк,6.032258064516129
Новосибирск,17.32258064516129
Новый Уренгой,8.290322580645162
Норильск,2.290322580645161
Ноябрьск,3.0
Нягань,1.0
Омск,3.290322580645161
Оренбург,5.0
Орск,1.5909090909090908
Пенза,4.0
Пермь,10.129032258064516
Петрозаводск,5.870967741935484
Петропавловск-Камчатский,1.0
Псков,1.5483870967741935
Ростов-на-Дону,10.193548387096774
Салехард,2.0
Самара,3.0
Санкт-Петербург,31.161290322580648
Саранск,2.0
Саратов,4.0
Советский,9.0
Сочи,9.612903225806452
Ставрополь,2.0
Стрежевой,1.0
Сургут,8.741935483870966
Сыктывкар,4.129032258064516
Тамбов,4.0
Томск,4.193548387096774
Тюмень,6.967741935483871
Удачный,3.0
Улан-Удэ,1.608695652173913
Ульяновск,9.580645161290322
Урай,2.0
Усинск,1.0
Усть-Илимск,2.870967741935484
Усть-Кут,1.0
Уфа,6.290322580645161
Ухта,3.0
Хабаровск,6.548387096774194
Ханты-Мансийск,8.419354838709676
Чебоксары,5.0
Челябинск,6.709677419354839
Череповец,2.161290322580645
Чита,1.5806451612903225
Элиста,4.870967741935484
Южно-Сахалинск,4.290322580645161
Якутск,2.741935483870968
Ярославль,1.3225806451612905
